Date,Day_of_Week,Lecture_Number,Start_Time,End_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total_Enrolled,Students_Present,Attendance_Percentage,Previous_Lecture_Attendance,Gap_Since_Previous_Lecture,Practical_Theory,Internal_Test_Week,Assignment_Due,Holiday_Before_After,Weather,Special_Event
22-06-2026,Monday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,32,15.69,30,2 Days,Theory,No,No,No,Cloudy,No
22-06-2026,Monday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,28,13.73,16,Same Day,Theory,No,Yes,Before,Cloudy,No
22-06-2026,Monday,3,10.15 AM,11.15 AM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,39,19.12,36,2 Days,Theory,No,No,No,Cloudy,No
22-06-2026,Monday,4,11.15 AM,12.15 PM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,25,12.25,19,3 Days,Theory,No,Yes,After,Sunny,No
22-06-2026,Monday,5,1.30 PM,3.30 PM,STQA Practical,DPY_AAB,3,MCA,A&B,Computer Lab,204,30,14.71,20,1 Day,Practical,No,Yes,No,Sunny,No
23-06-2026,Tuesday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,31,15.2,14,1 Day,Theory,Yes,Yes,No,Sunny,No
23-06-2026,Tuesday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,21,10.29,15,2 Days,Theory,No,Yes,No,Sunny,Yes
23-06-2026,Tuesday,3,10.15 AM,11.15 AM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,25,12.25,27,2 Days,Theory,No,No,No,Cloudy,No
23-06-2026,Tuesday,4,11.15 AM,12.15 PM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,33,16.18,28,7 Days,Theory,No,No,No,Sunny,No
23-06-2026,Tuesday,5,1.30 PM,3.30 PM,DS & ML Practical,MLK_SP,3,MCA,A&B,Computer Lab,204,32,15.69,39,2 Days,Practical,Yes,No,No,Cloudy,No
24-06-2026,Wednesday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,28,13.73,10,7 Days,Theory,No,No,Before,Sunny,No
24-06-2026,Wednesday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,39,19.12,14,Same Day,Theory,Yes,No,No,Sunny,No
24-06-2026,Wednesday,3,10.15 AM,11.15 AM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,29,14.22,25,2 Days,Theory,Yes,No,No,Sunny,No
24-06-2026,Wednesday,4,11.15 AM,12.15 PM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,35,17.16,12,3 Days,Theory,No,No,No,Sunny,Yes
24-06-2026,Wednesday,5,1.30 PM,3.30 PM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,29,14.22,12,Same Day,Theory,No,No,No,Sunny,No
25-06-2026,Thursday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,76,37.25,76,1 Day,Theory,No,No,No,Cloudy,No
25-06-2026,Thursday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,76,37.25,37,Same Day,Theory,No,Yes,Before,Sunny,No
25-06-2026,Thursday,3,10.15 AM,11.15 AM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,74,36.27,62,2 Days,Theory,No,Yes,No,Sunny,No
25-06-2026,Thursday,4,11.15 AM,12.15 PM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,72,35.29,66,Same Day,Theory,No,No,No,Sunny,No
25-06-2026,Thursday,5,1.30 PM,3.30 PM,Industry Readiness Program,IRP,3,MCA,A&B,Computer Lab,204,70,34.31,67,2 Days,Practical,No,No,No,Sunny,No
26-06-2026,Friday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,30,14.71,19,7 Days,Theory,Yes,No,After,Sunny,No
26-06-2026,Friday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,21,10.29,15,7 Days,Theory,Yes,No,No,Cloudy,No
26-06-2026,Friday,3,10.15 AM,11.15 AM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,23,11.27,16,2 Days,Theory,No,No,No,Sunny,No
26-06-2026,Friday,4,11.15 AM,12.15 PM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,34,16.67,17,3 Days,Theory,No,Yes,No,Rainy,No
26-06-2026,Friday,5,1.30 PM,3.30 PM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,37,18.14,14,3 Days,Practical,Yes,No,Before,Sunny,No
27-06-2026,Saturday,1,8.30 AM,9.15 AM,MAD Practical,SSP_ASP,3,MCA,A&B,Computer Lab,204,29,14.22,25,Same Day,Practical,Yes,No,Before,Rainy,No
27-06-2026,Saturday,2,9.15 AM,10.15 AM,MAD Practical,SSP_ASP,3,MCA,A&B,Computer Lab,204,31,15.2,14,3 Days,Practical,No,No,No,Rainy,No
27-06-2026,Saturday,4,11.15 AM,12.15 PM,Mini Project,SP,3,MCA,A&B,Computer Lab,204,27,13.24,24,3 Days,Practical,Yes,No,No,Sunny,Yes
29-06-2026,Monday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,68,33.33,37,3 Days,Theory,No,No,Before,Sunny,No
29-06-2026,Monday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,68,33.33,33,7 Days,Theory,No,Yes,No,Sunny,No
29-06-2026,Monday,3,10.15 AM,11.15 AM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,65,31.86,74,1 Day,Theory,No,Yes,No,Rainy,No
29-06-2026,Monday,4,11.15 AM,12.15 PM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,65,31.86,32,1 Day,Theory,Yes,No,Before,Rainy,No
29-06-2026,Monday,5,1.30 PM,3.30 PM,STQA Practical,DPY_AAB,3,MCA,A&B,Computer Lab,204,62,30.39,69,2 Days,Practical,No,Yes,No,Sunny,No
30-06-2026,Tuesday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,55,26.96,33,2 Days,Theory,No,No,Before,Rainy,Yes
30-06-2026,Tuesday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,55,26.96,27,3 Days,Theory,No,No,No,Rainy,No
30-06-2026,Tuesday,3,10.15 AM,11.15 AM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,52,25.49,67,2 Days,Theory,No,No,Before,Sunny,No
30-06-2026,Tuesday,4,11.15 AM,12.15 PM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,50,24.51,36,2 Days,Theory,No,Yes,After,Sunny,No
30-06-2026,Tuesday,5,1.30 PM,3.30 PM,DS & ML Practical,MLK_SP,3,MCA,A&B,Computer Lab,204,48,23.53,79,7 Days,Practical,Yes,No,No,Cloudy,Yes
01-07-2026,Wednesday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,26,12.75,10,Same Day,Theory,No,Yes,No,Sunny,No
01-07-2026,Wednesday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,26,12.75,13,7 Days,Theory,Yes,Yes,After,Sunny,Yes
01-07-2026,Wednesday,3,10.15 AM,11.15 AM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,29,14.22,18,1 Day,Theory,No,No,No,Sunny,No
01-07-2026,Wednesday,4,11.15 AM,12.15 PM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,21,10.29,17,3 Days,Theory,No,Yes,After,Sunny,No
01-07-2026,Wednesday,5,1.30 PM,3.30 PM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,26,12.75,14,7 Days,Theory,Yes,No,No,Sunny,No
02-07-2026,Thursday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,72,35.29,27,1 Day,Theory,No,No,No,Sunny,Yes
02-07-2026,Thursday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,72,35.29,35,7 Days,Theory,Yes,Yes,No,Sunny,No
02-07-2026,Thursday,3,10.15 AM,11.15 AM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,68,33.33,25,1 Day,Theory,No,Yes,No,Sunny,No
02-07-2026,Thursday,4,11.15 AM,12.15 PM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,65,31.86,35,7 Days,Theory,No,Yes,No,Sunny,No
02-07-2026,Thursday,5,1.30 PM,3.30 PM,Industry Readiness Program,IRP,3,MCA,A&B,Computer Lab,204,60,29.41,34,1 Day,Practical,No,Yes,After,Sunny,No
03-07-2026,Friday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,55,26.96,35,2 Days,Theory,No,Yes,No,Sunny,No
03-07-2026,Friday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,55,26.96,27,3 Days,Theory,No,No,No,Cloudy,Yes
03-07-2026,Friday,3,10.15 AM,11.15 AM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,50,24.51,33,1 Day,Theory,Yes,No,After,Cloudy,No
03-07-2026,Friday,4,11.15 AM,12.15 PM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,48,23.53,25,Same Day,Theory,No,No,After,Sunny,No
03-07-2026,Friday,5,1.30 PM,3.30 PM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,45,22.06,32,Same Day,Theory,No,Yes,No,Sunny,No
04-07-2026,Saturday,1,8.30 AM,9.15 AM,MAD Practical,SSP_ASP,3,MCA,A&B,Computer Lab,204,24,11.76,15,7 Days,Practical,Yes,No,After,Cloudy,No
04-07-2026,Saturday,2,9.15 AM,10.15 AM,MAD Practical,SSP_ASP,3,MCA,A&B,Computer Lab,204,28,13.73,12,3 Days,Practical,Yes,Yes,Before,Cloudy,No
04-07-2026,Saturday,4,11.15 AM,12.15 PM,Mini Project,SP,3,MCA,A&B,Computer Lab,204,38,18.63,13,2 Days,Practical,No,Yes,No,Sunny,Yes
06-07-2026,Monday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,20,9.8,13,3 Days,Theory,Yes,No,No,Sunny,Yes
06-07-2026,Monday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,37,18.14,10,1 Day,Theory,No,No,No,Cloudy,No
06-07-2026,Monday,3,10.15 AM,11.15 AM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,38,18.63,13,7 Days,Theory,No,No,No,Sunny,No
06-07-2026,Monday,4,11.15 AM,12.15 PM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,37,18.14,19,2 Days,Theory,Yes,No,Before,Cloudy,No
06-07-2026,Monday,5,1.30 PM,3.30 PM,STQA Practical,DPY_AAB,3,MCA,A&B,Computer Lab,204,23,11.27,15,2 Days,Practical,No,No,No,Sunny,Yes
07-07-2026,Tuesday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,26,12.75,18,2 Days,Theory,No,Yes,After,Sunny,No
07-07-2026,Tuesday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,24,11.76,13,2 Days,Theory,No,No,After,Sunny,No
07-07-2026,Tuesday,3,10.15 AM,11.15 AM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,31,15.2,10,Same Day,Theory,No,No,No,Rainy,No
07-07-2026,Tuesday,4,11.15 AM,12.15 PM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,26,12.75,11,2 Days,Theory,No,No,Before,Sunny,No
07-07-2026,Tuesday,5,1.30 PM,3.30 PM,DS & ML Practical,MLK_SP,3,MCA,A&B,Computer Lab,204,27,13.24,16,1 Day,Practical,No,Yes,Before,Sunny,No
08-07-2026,Wednesday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,25,12.25,12,7 Days,Theory,No,No,No,Sunny,No
